38	10	184	47711
10	3	219	47609
20	18	30198	30537
46	20	30375	30402
20	10	30447	30914
20	3	30485	30506
38	20	30494	30582
18	3	30503	30504
43	18	30505	30530
45	20	30513	31349
18	10	30514	30525
38	18	30516	30527
20	10	31000	31352
43	17	31378	31709
38	17	31381	31705
17	10	31396	31672
17	3	31574	31602
17	10	31791	31843
18	17	31866	31876
47	11	32994	33007
18	11	33015	33022
45	11	33029	33144
20	11	33073	33163
22	10	33170	47703
45	22	33174	33240
22	3	33182	55307
18	17	33212	33239
17	11	33237	33549
22	17	33296	33352
17	10	33374	33383
18	17	33564	34872
22	20	33975	34030
22	20	34186	34192
22	20	34439	34594
17	11	34876	34892
38	17	34890	35289
43	17	34898	35282
17	10	34900	35292
22	20	35078	35205
17	11	35283	35319
17	3	35286	35286
18	17	35324	35330
22	20	35425	35591
49	48	35483	35489
22	20	35742	37028
3	1	35860	35890
22	1	35866	43693
38	1	35869	35887
11	1	35901	35951
10	1	36067	36099
43	11	36147	36232
10	1	36200	39452
17	11	36205	36954
18	17	36301	36412
22	18	36436	36500
18	1	36462	36545
18	17	36515	37642
18	11	36683	36956
22	18	36684	36741
47	12	36781	36786
12	10	36820	45456
12	3	36825	36846
45	12	36826	37008
17	12	36851	36851
12	11	36852	36870
12	1	36859	37016
20	12	36868	36875
47	13	36873	36874
13	10	36942	37258
13	11	36959	37174
13	3	36962	37187
11	3	36964	36977
38	13	36964	37176
43	11	36971	37316
12	11	36976	37018
13	12	36981	37229
45	11	36989	37262
16	10	36996	37124
13	1	37002	37213
22	18	37012	37020
20	11	37016	37017
25	16	37019	37041
43	16	37054	37132
45	16	37055	37092
22	16	37056	37124
38	16	37061	37121
16	3	37063	37093
20	16	37064	37118
16	12	37075	37135
16	11	37083	37113
17	16	37116	37210
16	1	37118	37152
43	25	37122	37193
45	25	37123	37141
18	16	37127	37209
25	10	37127	37232
25	13	37132	37589
38	25	37137	37202
25	3	37139	37199
25	11	37147	37171
28	13	37158	37162
20	13	37183	37193
18	13	37189	37228
17	13	37191	37236
22	17	37197	37289
38	28	37205	37238
22	16	37207	37215
16	3	37210	37211
25	18	37211	37642
16	10	37216	37217
25	16	37217	37220
43	28	37218	37246
28	11	37227	37358
28	22	37243	37314
28	12	37253	37254
28	18	37256	37360
28	17	37262	37347
42	11	37264	37285
28	25	37265	37345
20	11	37268	37321
42	22	37271	37272
42	12	37274	37275
17	11	37277	37978
25	11	37278	38057
18	11	37279	37648
18	12	37298	37350
45	42	37300	37301
22	18	37302	37394
18	1	37312	37365
18	13	37316	37396
12	1	37321	40566
18	10	37335	37345
22	17	37367	37427
28	16	37376	37783
13	3	37390	37594
42	38	37398	37399
43	42	37399	37465
16	11	37426	37426
45	42	37426	37746
28	11	37431	37443
13	10	37468	37572
22	17	37502	37592
22	20	37508	37555
17	1	37523	37528
42	20	37657	37658
18	12	37670	37671
22	17	37672	37934
38	18	37677	37695
18	10	37680	37681
43	18	37681	37693
45	18	37712	37937
20	18	37716	37947
43	42	37746	38003
16	11	37782	37999
25	16	37791	38226
22	16	37799	38218
16	10	37813	37908
13	11	37821	37937
28	16	37866	37891
18	1	37952	37953
17	1	37960	37961
43	18	37964	37974
38	18	37985	37992
18	11	37987	38002
18	10	37988	37995
18	12	37993	38038
22	17	38014	38446
16	9	38053	39412
25	9	38058	44538
25	10	38096	38096
16	12	38110	38215
16	11	38113	38286
11	9	38165	38470
18	9	38166	41148
12	9	38174	40333
16	10	38220	38221
16	13	38227	40864
28	16	38235	41199
43	42	38307	38363
22	18	38455	38461
16	11	38474	38544
22	17	38525	38567
25	11	38591	38592
23	16	38616	38670
17	1	38643	38644
13	11	38701	38704
23	10	38716	39891
43	23	38716	38763
38	23	38717	38799
23	20	38739	38760
23	12	38803	39538
23	3	38809	39804
20	10	38880	39072
11	9	38930	39719
16	11	39053	39431
43	42	39122	39226
25	12	39123	39198
42	38	39134	39181
42	10	39147	39148
22	18	39201	39261
45	44	39367	39386
44	20	39373	39468
